Year,RegionCode,PersonsEngaged,AvgHoursWorked
1978,MMR,12.6400003433228,2440.19459230682
1979,MMR,12.9350004196167,2439.030473874
1980,MMR,13.2080001831055,2437.94035550694
1981,MMR,13.5150003433228,2436.81566521024
1982,MMR,13.789999961853,2435.73419098357
1983,MMR,14.1850004196167,2434.68976597546
1984,MMR,14.4969997406006,2435.03915011002
1985,MMR,14.7919998168945,2435.4049464317
1986,MMR,15.1300010681152,2436.22905082812
1987,MMR,15.5050001144409,2437.04949802875
1988,MMR,15.8129997253418,2437.86851492743
1989,MMR,16.0359992980957,2438.6886066323
1956,SWE,3.48387026786804,1950.83094097399
1957,SWE,3.48989081382751,1950.83094097399
1958,SWE,3.51521134376526,1919.26057418368
1959,SWE,3.5606849193573,1893.13337408135
1960,SWE,3.66086864471436,1888.77884073096
1961,SWE,3.69033908843994,1890.95610740615
1962,SWE,3.71018409729004,1878.98114069258
1963,SWE,3.7290749549865696,1872.449340667
1964,SWE,3.78264665603638,1841.96760721428
1965,SWE,3.80852055549622,1831.08127383831
1966,SWE,3.81385946273804,1816.92904044955
1967,SWE,3.77322578430176,1786.44730699683
1968,SWE,3.81335473060608,1742.90197349295
1969,SWE,3.88504076004028,1720.04067340341
1970,SWE,3.96096920967102,1703.71117333945
1971,SWE,3.9463508129119904,1672.18317013172
1972,SWE,3.9628210067749,1633.28716617435
1973,SWE,3.98235821723938,1617.40516455848
1974,SWE,4.06052017211914,1599.07216269324
1975,SWE,4.13623142242432,1575.38616028337
1976,SWE,4.14892578125,1588.1461615816
1977,SWE,4.15602874755859,1557.85215849942
1978,SWE,4.17296743392944,1520.77815472743
1979,SWE,4.23607397079468,1511.57315379089
1980,SWE,4.28328227996826,1514.60515409938
1981,SWE,4.2897224426269505,1506.22215324647
1982,SWE,4.2810788154602095,1520.33215468205
1969,FIN,2.23831701278687,1968.5816703313
1970,FIN,2.28586792945862,1979.93688709776
1971,FIN,2.2760283946991,1944.35688912665
1972,FIN,2.29405188560486,1928.65889002179
1973,FIN,2.33601427078247,1912.96189091689
1974,FIN,2.34323239326477,1906.68289127494
1975,FIN,2.33213925361633,1899.14289170489
1976,FIN,2.31156015396118,1896.12889187676
1977,FIN,2.26921796798706,1887.83689234959
1978,FIN,2.24693298339844,1893.25589204059
1979,FIN,2.29654741287231,1869.14289341558
1980,FIN,2.36439990997314,1790.00889792805
1981,FIN,2.40372204780579,1783.76688344172
1982,FIN,2.4177839756012,1776.40137548163
1983,FIN,2.40946698188782,1766.11395087894
1984,FIN,2.41737294197083,1761.86728522906
1985,FIN,2.43047022819519,1755.87435072966
1986,FIN,2.4228663444519,1739.29236499069
1987,FIN,2.44794726371765,1746.26131847421
1988,FIN,2.45585489273071,1749.90811450974
1989,FIN,2.48402380943298,1750.03028223039
1950,NLD,4.248744964599609,1997.12555159651
1951,NLD,4.26451015472412,1982.44901690433
1952,NLD,4.24649238586426,1967.88033755975
1953,NLD,4.32419300079346,1953.41872095224
1954,NLD,4.44130659103394,1939.06338029602
1955,NLD,4.522385120391849,1924.81353458727
1956,NLD,4.59220266342163,1910.66840856163
1957,NLD,4.616977214813231,1896.62723265204
1958,NLD,4.574185371398929,1882.68924294683
1959,NLD,4.62148141860962,1868.85368114822
1960,NLD,4.70931673049927,1855.119794531
1961,NLD,4.77800750732422,1853.44747230276
1962,NLD,4.87372541427612,1851.77665761146
1963,NLD,4.9401650428772,1850.10734909813
1964,NLD,5.02687406539917,1848.43954540499
1965,NLD,5.06966543197632,1846.77324517551
1966,NLD,5.10907888412476,1845.10844705437
1967,NLD,5.09331369400024,1843.44514968747
1968,NLD,5.14060926437378,1841.78335172194
1970,NLD,5.57836866378784,1838.46424858958
1971,NLD,5.62935638427734,1804.92524405458
1972,NLD,5.600795269012449,1803.17524381795
1973,NLD,5.65201330184937,1776.72824024189
1974,NLD,5.7022910118103,1723.16323299905
1975,NLD,5.70159339904785,1669.98422580841
1976,NLD,5.7431468963623,1654.08522365861
1977,NLD,5.75575160980225,1633.82722091941
1978,NLD,5.83453321456909,1605.23721705358
1979,NLD,5.95456981658936,1583.77121415104
1980,NLD,6.0513424873352095,1580.83821375445
1981,NLD,6.012948036193849,1580.31321368346
1982,NLD,5.92591142654419,1565.78721171932
1983,NLD,5.88087034225464,1550.84220969851
1984,NLD,5.93495845794678,1542.71020859894
1985,NLD,6.04817056655884,1526.23420637112
1986,NLD,6.19123077392578,1511.27320434816
1987,CRI,0.967135429382324,2371.74463155442
1988,CRI,0.997787296772003,2351.56558044849
1989,CRI,1.06249141693115,2313.10277208307
1958,COL,3.91934776306152,2238.61327813223
1959,COL,4.00329113006592,2228.28280316868
1960,COL,4.09365797042847,2218.0
1961,COL,4.1988959312439,2213.15260427349
1962,COL,4.30683946609497,2208.31580243577
1963,COL,4.417557716369631,2203.4895713341
1964,COL,4.53112268447876,2198.67388786634
1965,COL,4.65516233444214,2193.86872898084
1966,COL,4.816287517547609,2189.07407167634
1967,COL,4.98298931121826,2184.28989300183
1968,COL,5.15546035766602,2179.51617005648
1969,COL,5.333902359008791,2174.75287998948
1970,COL,5.53469944000244,2170.0
1971,COL,5.71786546707153,2160.2899487883
1972,COL,5.90709257125854,2150.62334692892
1973,COL,6.10258197784424,2141.0
1974,COL,6.304542541503911,2131.29765927281
1975,COL,6.656195163726809,2121.6392865118
1976,COL,6.87552547454834,2112.02468246793
1977,COL,7.1956615447998,2102.4536487951
1978,COL,7.399928569793699,2092.92598804604
1979,COL,7.61825466156006,2083.44150366826
1980,COL,7.78116416931152,2074.0
1981,COL,8.13797092437744,2063.22314575255
1982,COL,8.28090858459473,2052.50228985972
1983,COL,8.293473243713379,2041.83714134459
1984,COL,8.37685966491699,2031.22741074223
1985,COL,8.60632228851318,2020.6728100918
1986,COL,8.9241418838501,2010.17305292876
1987,COL,9.39193058013916,1999.7278542771
1988,COL,9.74868011474609,1989.33693064156
1989,COL,10.2207546234131,1979.0
1950,USA,62.8143653869629,1990.14487529606
1951,USA,65.092643737793,2031.63513382597
1952,USA,65.8843536376953,2027.81261226693
1953,USA,66.8207168579102,2021.45028405232
1954,USA,65.5983276367188,1998.12734469943
1955,USA,67.4969482421875,2005.58414293591
1956,USA,69.1296768188477,1990.45868740877
1957,USA,69.46849060058591,1962.60481996269
1958,USA,68.2173690795898,1928.46129588436
1959,USA,69.7832107543945,1953.84128022217
1960,USA,70.9569396972656,1935.26304062498
1961,USA,71.0067138671875,1920.71452403175
1962,USA,72.06323242187501,1940.2341139797
1963,USA,73.0742645263672,1928.44883222192
1983,SWE,4.29038333892822,1529.61615562663
1984,SWE,4.32608032226563,1531.79015584782
1985,SWE,4.372880935668951,1535.82215625804
1986,SWE,4.40374135971069,1533.84315605669
1987,SWE,4.44311237335205,1543.9461570846
1988,SWE,4.50713300704956,1563.48815907284
1989,SWE,4.56869173049927,1562.34115895614
1950,SWE,3.37603831291199,2005.26260785385
1951,SWE,3.4092481136322,1995.46490781547
1952,SWE,3.38117122650146,1995.46490781547
1953,SWE,3.37324953079224,1975.86950773872
1954,SWE,3.40120220184326,1986.7558411147
1955,SWE,3.43287324905396,1975.86950773872
1950,VEN,1.6884388923645,2179.0
1951,VEN,1.74390506744385,2162.98027036732
1952,VEN,1.80119347572327,2147.07831574037
1953,VEN,1.86036384105682,2131.29327025237
1954,VEN,1.92147791385651,2115.62427440226
1955,VEN,1.98984622955322,2100.07047500792
1956,VEN,2.05539035797119,2084.63102515973
1957,VEN,2.12309384346008,2069.30508417444
1958,VEN,2.19302701950073,2054.09181754938
1959,VEN,2.26526403427124,2038.99039691705
1960,VEN,2.34609985351563,2024.0
1961,VEN,2.41365623474121,2016.5787400457
1962,VEN,2.48315834999084,2009.18469110884
1963,VEN,2.55466103553772,2001.81775341669
1964,VEN,2.62822341918945,1994.47782756232
1965,VEN,2.7094087600708,1987.16481450332
1966,VEN,2.77938199043274,1979.8786155604
1967,VEN,2.85116219520569,1972.61913241611
1968,VEN,2.92479658126831,1965.3862671135
1969,VEN,3.00033235549927,1958.17992205477
1970,VEN,3.08286809921265,1951.0
1971,VEN,3.21140480041504,1955.65554858746
1972,VEN,3.31313848495483,1960.3222064177
1973,VEN,3.45987105369568,1965.0
1974,VEN,3.6128363609314,1969.53984123819
1975,VEN,3.76319980621338,1974.09017110665
1976,VEN,3.70320010185242,1978.6510138378
1977,VEN,3.78110027313232,1983.22239372005
1978,VEN,3.9944996833801296,1987.80433509792
1979,VEN,4.10619974136353,1992.39686237219
1980,VEN,4.6350998878479,1997.0
1981,VEN,4.8011999130249,1985.9821770617
1982,VEN,4.92729997634888,1975.02514151563
1983,VEN,4.934000015258791,1964.12855798638
1984,VEN,4.93800020217896,1953.29209294884
1985,VEN,5.10610008239746,1942.51541471805
1986,VEN,5.39599943161011,1931.79819343898
1950,ESP,11.644287109375,2209.25714869554
1951,ESP,11.6829662322998,2205.07860324955
1952,ESP,11.7294511795044,2201.01603166708
1953,ESP,11.8037443161011,2197.05577472856
1954,ESP,11.8911037445068,2214.11412065673
1955,ESP,12.0440282821655,2196.02446333867
1956,ESP,12.227933883667,2179.88870547795
1957,ESP,12.4094896316528,2164.81227279831
1958,ESP,12.6435737609863,2150.18005086849
1959,ESP,12.4930772781372,2139.62833177375
1960,ESP,12.3540811538696,2130.37402835247
1961,ESP,12.5615720748901,2112.11736805369
1962,ESP,12.6405782699585,2094.91309416263
1963,ESP,12.7248344421387,2077.98460980219
1964,ESP,12.7919626235962,2032.2558304399
